corp_code,corp_name,stock_code,business_year,fs_label,revenue_current,revenue_previous,op_current,op_previous,revenue_account_name,op_account_name,current_period_name,previous_period_name
00127954,CJ프레시웨이,051500,2024,연결재무제표,3224779013185.0,3074242286759.0,94025267830.0,99255535636.0,매출액,영업이익(손실),제 37 기,제 36 기
00127954,CJ프레시웨이,051500,2025,연결재무제표,3481081567935.0,3224779013185.0,101652510024.0,94025267830.0,매출액,영업이익(손실),제 38 기,제 37 기
00380429,CMG제약,058820,2023,연결재무제표,93906675105.0,82197409668.0,3036940781.0,2981395714.0,수익(매출액),영업이익(손실),제 23 기,제 22 기
00380429,CMG제약,058820,2024,연결재무제표,99099733323.0,93906675105.0,1020328528.0,3036940781.0,수익(매출액),영업이익(손실),제 24 기,제 23 기
00380429,CMG제약,058820,2025,연결재무제표,105229184685.0,99099733323.0,-3692472431.0,1020328528.0,매출액,영업이익,제 25 기,제 24 기
00318662,CNT85,056730,2023,별도재무제표,50169908998.0,32080799484.0,881111019.0,1527966021.0,매출액,영업이익(손실),제 28 기,제 27 기
00318662,CNT85,056730,2024,별도재무제표,67038863257.0,50169908998.0,-1406893491.0,881111019.0,매출액,영업이익(손실),제 29 기,제 28 기
00318662,CNT85,056730,2025,별도재무제표,47500876149.0,67038863257.0,-11269330726.0,-1406893491.0,매출액,영업이익(손실),제 30 기,제 29 기
00303703,CS,065770,2023,연결재무제표,33661402007.0,35182635211.0,-1576925628.0,-4133560963.0,매출액,영업이익(손실),제 25 기,제 24 기
00303703,CS,065770,2024,연결재무제표,37172496286.0,33661402007.0,-199946833.0,-1576925628.0,매출액,영업이익(손실),제 26 기,제 25 기
00303703,CS,065770,2025,연결재무제표,23640234124.0,37172496286.0,-1182774586.0,-199946833.0,매출액,영업이익(손실),제 27 기,제 26 기
00406037,CSA 코스믹,083660,2023,연결재무제표,44586544406.0,61199059267.0,-5907776504.0,-9265722999.0,매출액,영업이익(손실),제 35 기,제 34 기
00406037,CSA 코스믹,083660,2024,연결재무제표,36380940773.0,44586544406.0,-3773889414.0,-5907776504.0,매출액,영업이익(손실),제 36 기,제 35 기
00406037,CSA 코스믹,083660,2025,연결재무제표,27930330148.0,36380940773.0,-5633988964.0,-3773889414.0,매출액,영업이익(손실),제 37 기,제 36 기
00149026,CS홀딩스,000590,2023,연결재무제표,171965239524.0,175266452048.0,19128717935.0,15632045335.0,영업수익,영업이익,제 76 기,제 75 기
00149026,CS홀딩스,000590,2024,연결재무제표,141950747269.0,171965239524.0,22314081505.0,19128717935.0,영업수익,영업이익,제 77 기,제 76 기
00149026,CS홀딩스,000590,2025,연결재무제표,134870815287.0,141950747269.0,20215270547.0,22314081505.0,매출액,영업이익,제 78 기,제 77 기
00163345,DB,012030,2023,연결재무제표,458583862804.0,401345502158.0,37022768314.0,23608623380.0,매출액,영업이익(손실),제 47 기,제 46 기
00163345,DB,012030,2024,연결재무제표,587435690902.0,458583862804.0,29627168728.0,37022768314.0,매출액,영업이익,제 48 기,제 47 기
00163345,DB,012030,2025,연결재무제표,643464276938.0,587435690902.0,41599355858.0,29627168728.0,매출액,영업이익,제 49 기,제 48 기
00159102,DB손해보험,005830,2023,연결재무제표,4175650416966.0,4461365142881.0,2234997557489.0,2726046963754.0,투자영업수익,영업이익(손실),제 57 기,제 56 기
00159102,DB손해보험,005830,2024,연결재무제표,5756815463478.0,4175650416966.0,2424925603957.0,2234997557489.0,투자영업수익,영업이익(손실),제 58 기,제 57 기
00159102,DB손해보험,005830,2025,연결재무제표,5840353000000.0,5756815000000.0,2383950000000.0,2424926000000.0,투자영업수익,영업이익(손실),제 59 기,제 58 기
00115694,DB증권,016610,2023,연결재무제표,1206986042160.0,1223166577309.0,21296499824.0,23824123353.0,영업수익,영업이익(손실),제 42 기,제 41 기
00115694,DB증권,016610,2024,연결재무제표,1318537932981.0,1206986042160.0,61858580381.0,21296499824.0,영업수익,영업이익(손실),제 43 기,제 42 기
